target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,IE,2026-05-03,3,quantile,0.15,4.215418201202856,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.15,2.0455597596116237,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.2,3.282252693986817,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.2,3.9589427393588092,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.2,4.321232021893986,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.2,2.12232494794382,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.25,3.400798008998688,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.25,4.051862989491497,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.25,4.411345327092613,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.25,2.2084779168039446,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.3,3.4703457816912464,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.3,4.132651388215701,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.3,4.438503782806717,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.3,2.2762322074088757,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.35,3.537571690093896,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.35,4.217825161611797,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.35,4.4821058244253145,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.35,2.3281535748405893,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.4,3.6407260477348964,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.4,4.280423659721335,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.4,4.546837445183283,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.4,2.4266958999168464,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.45,3.69612734314742,2026-04-22
