target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,CH,2026-04-08,2026-04-05,0.975,1,quantile,144.239261117986
ILI incidence,CH,2026-04-08,2026-04-05,0.99,1,quantile,185.722176682975
ILI incidence,CH,2026-04-08,2026-04-12,0.01,2,quantile,2.07078149256115
ILI incidence,CH,2026-04-08,2026-04-12,0.025,2,quantile,3.46882784290041
ILI incidence,CH,2026-04-08,2026-04-12,0.05,2,quantile,5.14623326762963
ILI incidence,CH,2026-04-08,2026-04-12,0.1,2,quantile,7.43439859256361
ILI incidence,CH,2026-04-08,2026-04-12,0.15,2,quantile,9.83152110725697
ILI incidence,CH,2026-04-08,2026-04-12,0.2,2,quantile,12.0300610051339
ILI incidence,CH,2026-04-08,2026-04-12,0.25,2,quantile,13.9303872190808
ILI incidence,CH,2026-04-08,2026-04-12,0.3,2,quantile,16.7604981997192
ILI incidence,CH,2026-04-08,2026-04-12,0.35,2,quantile,19.7497674750107
ILI incidence,CH,2026-04-08,2026-04-12,0.4,2,quantile,23.344026839133
ILI incidence,CH,2026-04-08,2026-04-12,0.45,2,quantile,27.578764319586
ILI incidence,CH,2026-04-08,2026-04-12,0.5,2,quantile,31.3718652985875
ILI incidence,CH,2026-04-08,2026-04-12,0.55,2,quantile,37.1732758400914
ILI incidence,CH,2026-04-08,2026-04-12,0.6,2,quantile,43.2302646742101
ILI incidence,CH,2026-04-08,2026-04-12,0.65,2,quantile,48.441721829199
ILI incidence,CH,2026-04-08,2026-04-12,0.7,2,quantile,55.3797676403441
ILI incidence,CH,2026-04-08,2026-04-12,0.75,2,quantile,62.1742372411389
ILI incidence,CH,2026-04-08,2026-04-12,0.8,2,quantile,73.932356367645
ILI incidence,CH,2026-04-08,2026-04-12,0.85,2,quantile,91.2993597482324
ILI incidence,CH,2026-04-08,2026-04-12,0.9,2,quantile,110.26985893724
ILI incidence,CH,2026-04-08,2026-04-12,0.95,2,quantile,143.635488611874
ILI incidence,CH,2026-04-08,2026-04-12,0.975,2,quantile,180.456318504539
ILI incidence,CH,2026-04-08,2026-04-12,0.99,2,quantile,220.318099589412
ILI incidence,CH,2026-04-08,2026-04-19,0.01,3,quantile,1.20033098038041
ILI incidence,CH,2026-04-08,2026-04-19,0.025,3,quantile,3.6799654957873
ILI incidence,CH,2026-04-08,2026-04-19,0.05,3,quantile,5.30150520105512
ILI incidence,CH,2026-04-08,2026-04-19,0.1,3,quantile,7.62693471380086
ILI incidence,CH,2026-04-08,2026-04-19,0.15,3,quantile,9.51430211180362
ILI incidence,CH,2026-04-08,2026-04-19,0.2,3,quantile,11.6870514441668
ILI incidence,CH,2026-04-08,2026-04-19,0.25,3,quantile,14.6363850877012
ILI incidence,CH,2026-04-08,2026-04-19,0.3,3,quantile,17.3828757498967
ILI incidence,CH,2026-04-08,2026-04-19,0.35,3,quantile,20.2540631610359
ILI incidence,CH,2026-04-08,2026-04-19,0.4,3,quantile,23.0048464328335
ILI incidence,CH,2026-04-08,2026-04-19,0.45,3,quantile,26.7126068738703
ILI incidence,CH,2026-04-08,2026-04-19,0.5,3,quantile,31.0297850850389
ILI incidence,CH,2026-04-08,2026-04-19,0.55,3,quantile,37.2284531031207
ILI incidence,CH,2026-04-08,2026-04-19,0.6,3,quantile,42.1015204552685
ILI incidence,CH,2026-04-08,2026-04-19,0.65,3,quantile,48.2833140472916
